schema,table,directory,data_source,script,script_url,parent_schema,parent_table,parent_directory
ai_raw,ess,PHPrevention7,ESSENCE,03_raw_01_ess.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/03_raw_01_ess.R,url,ESSENCE,https://essence2.syndromicsurveillance.org/nssp_essence/api/dataDetails/csv?labDataSource=a&percentParam=noPercent&datasource=va_labba&detector=probrepswitch&dateType=eventdate&timeResolution=daily&labRegion=wa_king&userId=4216&aqtTarget=DataDetails&labORUCResultTestComboFreeT
ai_raw,ess_supp,PHPrevention7,ESSENCE,03_raw_02_ess_supp.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/03_raw_02_ess_supp.R,url,ESSENCE,https://essence2.syndromicsurveillance.org/nssp_essence/api/dataDetails/csv?labDataSource=a&percentParam=noPercent&datasource=va_labba&detector=probrepswitch&dateType=eventdate&timeResolution=daily&labRegion=wa_king&userId=4216&aqtTarget=DataDetails&labORUCResultTestComboFreeT
ai_staging,ess_demo,PHPrevention7,ESSENCE,04_staging_01_ess_demo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_01_ess_demo.R,ai_raw,ess,PHPrevention7
ai_staging,ess_demo,PHPrevention7,ESSENCE,04_staging_01_ess_demo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_01_ess_demo.R,ai_ref,demo_sex,PHPrevention7
ai_staging,ess_demo,PHPrevention7,ESSENCE,04_staging_01_ess_demo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_01_ess_demo.R,ai_ref,demo_age_group,PHPrevention7
ai_staging,ess_demo,PHPrevention7,ESSENCE,04_staging_01_ess_demo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_01_ess_demo.R,ai_ref,demo_re,PHPrevention7
ai_staging,ess_geo,PHPrevention7,ESSENCE,04_staging_02_ess_geo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_02_ess_geo.R,ai_raw,ess,PHPrevention7
ai_staging,ess_geo,PHPrevention7,ESSENCE,04_staging_02_ess_geo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_02_ess_geo.R,ai_ref,geo_key_zip_to_4regions_2020,PHPrevention7
ai_staging,ess_geo,PHPrevention7,ESSENCE,04_staging_02_ess_geo.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_02_ess_geo.R,ai_ref,geo_key_zip_to_10regions_2020,PHPrevention7
ai_staging,ess_class,PHPrevention7,ESSENCE,04_staging_03_ess_class.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_03_ess_class.R,ai_raw,ess,PHPrevention7
ai_staging,ess_syn,PHPrevention7,ESSENCE,04_staging_04_ess_syn.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_04_ess_syn.R,ai_raw,ess,PHPrevention7
ai_staging,ess_date,PHPrevention7,ESSENCE,04_staging_05_ess_date.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_05_ess_date.R,ai_raw,ess,PHPrevention7
ai_staging,ess_fac,PHPrevention7,ESSENCE,04_staging_06_ess_fac.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_06_ess_fac.R,ai_raw,ess,PHPrevention7
ai_staging,ess_fac,PHPrevention7,ESSENCE,04_staging_06_ess_fac.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_06_ess_fac.R,ai_ref,geo_key_zip_to_4regions_2020,PHPrevention7
ai_staging,ess_fac,PHPrevention7,ESSENCE,04_staging_06_ess_fac.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_06_ess_fac.R,ai_ref,geo_key_zip_to_10regions_2020,PHPrevention7
ai_staging,ess_fac,PHPrevention7,ESSENCE,04_staging_06_ess_fac.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_06_ess_fac.R,ai_ref,geo_key_zip_to_wwcatch,PHPrevention7
ai_staging,ess_svi,PHPrevention7,ESSENCE,04_staging_07_ess_svi.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_07_ess_svi.R,ai_raw,ess,PHPrevention7
ai_staging,ess_svi,PHPrevention7,ESSENCE,04_staging_07_ess_svi.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/04_staging_07_ess_svi.R,ai_ref,svi_zip,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_raw,ess,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_demo,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_geo,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_class,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_syn,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_date,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_fac,PHPrevention7
ai_prod,ess_ll,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_svi,PHPrevention7
ai_prod,ess_ll_ed,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_prod,ess_ll,PHPrevention7
ai_prod,ess_ll_ed_kc_fac,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_prod,ess_ll,PHPrevention7
ai_prod,ess_ll_upcare,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_prod,ess_ll,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_raw,ess_supp,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_raw,ess,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_demo,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_geo,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_class,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_syn,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_date,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_fac,PHPrevention7
ai_prod,ess_ll_supp,PHPrevention7,ESSENCE,05_prod_01_ess_ll.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_01_ess_ll.R,ai_staging,ess_svi,PHPrevention7
ai_prod,ess_agg0_all,PHPrevention7,ESSENCE,05_prod_02_ess_agg0_all.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_02_ess_agg0_all.R,ai_prod,ess_ll_ed_kc_fac,PHPrevention7
ai_staging,log_ess_agg0_all,PHPrevention7,ESSENCE,05_prod_02_ess_agg0_all.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_02_ess_agg0_all.R,ai_prod,ess_agg0_all,PHPrevention7
ai_prod,ess_agg0_resp,PHPrevention7,ESSENCE,05_prod_03_ess_agg0_resp.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_03_ess_agg0_resp.R,ai_prod,ess_ll_ed_kc_fac,PHPrevention7
ai_staging,log_ess_agg0_resp,PHPrevention7,ESSENCE,05_prod_03_ess_agg0_resp.R,https://github.com/PHSKC-Analytics-Informatics/Data_Pipeline/blob/main/Scripts%20-%20Data%20Sources/ESSENCE/05_prod_03_ess_agg0_resp.R,ai_prod,ess_agg0_resp,PHPrevention7
